order_id,order_date,order_status,total_price,currency,Product ID,Product Name,Category,quantity_sold,discount_amount,payment_method,shipping_cost,customer_id,customer_name,email,location_id,city,customer_type
ORD_00001,16/02/24,Completed,20,INR,PD_08,Camping Tent,Sports & Outdoors,1,379,PayPal,55,CUST_161,RBhosale,rbhosale296@gmail.com,LOC_11,Mysore,VIP
ORD_00002,28/02/24,Completed,4618,INR,PD_05,Sweater,Clothing,1,44,Credit Card,95,CUST_195,SKumar,skumar155@gmail.com,LOC_45,Tiruchirappalli,VIP
ORD_00003,10/03/24,Completed,1856,INR,PD_14,Football,Sports & Outdoors,1,119,PayPal,84,CUST_161,RBhosale,rbhosale296@gmail.com,LOC_11,Mysore,VIP
ORD_00004,09/03/24,Pending,17645,INR,PD_05,Sweater,Clothing,5,112,Credit Card,77,CUST_114,SGupta,sgupta869@gmail.com,LOC_14,Belgaum,VIP
ORD_00005,10/02/24,Completed,7005,INR,PD_09,Smartphone,Electronics,2,174,UPI,55,CUST_161,RBhosale,rbhosale296@gmail.com,LOC_11,Mysore,VIP
ORD_00006,23/02/24,Pending,697,INR,PD_16,Tablet,Electronics,1,194,UPI,32,CUST_011,RJoshi,rjoshi691@gmail.com,LOC_11,Mysore,VIP
ORD_00007,31/03/24,Pending,3624,INR,PD_20,Smartphone,Electronics,1,274,Credit Card,35,CUST_044,SDeshmukh,sdeshmukh903@yahoo.com,LOC_44,Nashik,Returning
ORD_00008,11/03/24,Pending,12181,INR,PD_11,Shampoo,Beauty & Personal Care,5,424,PayPal,100,CUST_161,RBhosale,rbhosale296@gmail.com,LOC_11,Mysore,VIP
ORD_00009,21/03/24,Pending,186,INR,PD_07,Dumbbells,Sports & Outdoors,1,338,Credit Card,49,CUST_238,SBhosale,sbhosale192@yahoo.com,LOC_38,Kolkata,Returning
ORD_00010,01/03/24,Canceled,1715,INR,PD_20,Smartphone,Electronics,2,194,UPI,55,CUST_178,RVerma,rverma172@outlook.com,LOC_28,Amritsar,New
ORD_00011,14/03/24,Pending,6129,INR,PD_20,Smartphone,Electronics,2,181,Credit Card,46,CUST_200,KPatel,kpatel330@gmail.com,LOC_50,Mumbai,Returning
ORD_00012,11/02/24,Pending,7283,INR,PD_14,Football,Sports & Outdoors,5,273,Net Banking,51,CUST_011,RJoshi,rjoshi691@gmail.com,LOC_11,Mysore,VIP
ORD_00013,25/03/24,Completed,13935,INR,PD_14,Football,Sports & Outdoors,3,112,PayPal,61,CUST_197,NGupta,ngupta662@gmail.com,LOC_47,Madurai,Returning
ORD_00014,05/02/24,Completed,2533,INR,PD_20,Smartphone,Electronics,1,205,UPI,54,CUST_260,NDeshmukh,ndeshmukh436@gmail.com,LOC_10,Patna,VIP
ORD_00015,10/02/24,Pending,8254,INR,PD_04,Yoga Mat,Sports & Outdoors,2,202,PayPal,78,CUST_116,SPatel,spatel830@yahoo.com,LOC_16,Howrah,New
ORD_00016,19/03/24,Canceled,9174,INR,PD_17,Camping Tent,Sports & Outdoors,2,275,Net Banking,53,CUST_267,RVerma,rverma615@gmail.com,LOC_17,Agra,VIP
ORD_00017,09/02/24,Canceled,16718,INR,PD_11,Shampoo,Beauty & Personal Care,5,185,Net Banking,48,CUST_026,RKumar,rkumar490@outlook.com,LOC_26,Purnia,Returning
ORD_00018,10/02/24,Canceled,79,INR,PD_17,Camping Tent,Sports & Outdoors,1,440,PayPal,34,CUST_179,RDeshmukh,rdeshmukh535@gmail.com,LOC_29,Jalandhar,VIP
ORD_00019,25/02/24,Canceled,19977,INR,PD_10,Hair Dryer,Beauty & Personal Care,4,32,Net Banking,69,CUST_050,SDeshmukh,sdeshmukh995@gmail.com,LOC_50,Mumbai,Returning
ORD_00020,27/03/24,Completed,10388,INR,PD_19,Perfume,Beauty & Personal Care,5,497,Credit Card,90,CUST_242,SPatel,spatel244@gmail.com,LOC_42,Mangalore,VIP
ORD_00021,08/02/24,Pending,11095,INR,PD_14,Football,Sports & Outdoors,5,393,Net Banking,63,CUST_140,KDeshmukh,kdeshmukh177@outlook.com,LOC_40,Aurangabad,VIP
ORD_00022,04/03/24,Completed,7684,INR,PD_11,Shampoo,Beauty & Personal Care,2,1,Credit Card,53,CUST_218,APatel,apatel340@outlook.com,LOC_18,Jabalpur,VIP
ORD_00023,10/02/24,Pending,12508,INR,PD_03,Microwave,Home & Kitchen,3,311,PayPal,45,CUST_292,KKumar,kkumar564@yahoo.com,LOC_42,Mangalore,New
ORD_00024,10/03/24,Pending,21770,INR,PD_11,Shampoo,Beauty & Personal Care,5,470,Net Banking,20,CUST_264,SSharma,ssharma278@yahoo.com,LOC_14,Belgaum,New
ORD_00025,28/03/24,Pending,607,INR,PD_13,Microwave,Home & Kitchen,1,475,PayPal,66,CUST_147,RVerma,rverma576@yahoo.com,LOC_47,Madurai,VIP
ORD_00026,06/02/24,Completed,1716,INR,PD_11,Shampoo,Beauty & Personal Care,1,449,Net Banking,92,CUST_234,AVerma,averma952@yahoo.com,LOC_34,Indore,New
ORD_00027,09/02/24,Canceled,4107,INR,PD_08,Camping Tent,Sports & Outdoors,1,392,Net Banking,36,CUST_297,RDeshmukh,rdeshmukh873@outlook.com,LOC_47,Madurai,New
ORD_00028,27/03/24,Canceled,7212,INR,PD_05,Sweater,Clothing,5,135,Net Banking,87,CUST_276,SVerma,sverma508@yahoo.com,LOC_26,Purnia,VIP
ORD_00029,17/03/24,Pending,8693,INR,PD_15,Yoga Mat,Sports & Outdoors,2,386,Net Banking,45,CUST_277,RJoshi,rjoshi537@yahoo.com,LOC_27,Surat,VIP
ORD_00030,29/02/24,Completed,10690,INR,PD_09,Smartphone,Electronics,3,460,PayPal,86,CUST_088,SSharma,ssharma218@yahoo.com,LOC_38,Kolkata,New
ORD_00031,09/03/24,Canceled,1097,INR,PD_19,Perfume,Beauty & Personal Care,2,173,PayPal,22,CUST_116,SPatel,spatel830@yahoo.com,LOC_16,Howrah,New
ORD_00032,17/03/24,Canceled,9546,INR,PD_18,Dumbbells,Sports & Outdoors,5,3,Credit Card,29,CUST_092,AKumar,akumar101@outlook.com,LOC_42,Mangalore,VIP
ORD_00033,27/03/24,Pending,865,INR,PD_18,Dumbbells,Sports & Outdoors,2,463,Credit Card,24,CUST_173,KGupta,kgupta682@outlook.com,LOC_23,Gwalior,New
ORD_00034,14/02/24,Canceled,10185,INR,PD_17,Camping Tent,Sports & Outdoors,5,142,PayPal,82,CUST_003,RKumar,rkumar132@gmail.com,LOC_03,Durgapur,New
ORD_00035,22/03/24,Pending,23909,INR,PD_06,Coffee Maker,Home & Kitchen,5,242,Net Banking,51,CUST_097,KKumar,kkumar793@outlook.com,LOC_47,Madurai,New
ORD_00036,23/02/24,Pending,1770,INR,PD_07,Dumbbells,Sports & Outdoors,2,49,Net Banking,75,CUST_006,RSharma,rsharma877@gmail.com,LOC_06,Rajkot,VIP
ORD_00037,04/02/24,Pending,1860,INR,PD_11,Shampoo,Beauty & Personal Care,4,344,UPI,32,CUST_238,SBhosale,sbhosale192@yahoo.com,LOC_38,Kolkata,Returning
ORD_00038,06/03/24,Pending,2082,INR,PD_07,Dumbbells,Sports & Outdoors,1,98,PayPal,44,CUST_174,RDeshmukh,rdeshmukh740@gmail.com,LOC_24,Kanpur,Returning
