order_id,order_date,order_status,total_price,currency,Product ID,Product Name,Category,quantity_sold,discount_amount,payment_method,shipping_cost,customer_id,customer_name,email,location_id,city,customer_type
ORD_00003,10/03/24,Completed,1856,INR,PD_14,Football,Sports & Outdoors,1,119,PayPal,84,CUST_161,RBhosale,rbhosale296@gmail.com,LOC_11,Mysore,VIP
ORD_00012,11/02/24,Pending,7283,INR,PD_14,Football,Sports & Outdoors,5,273,Net Banking,51,CUST_011,RJoshi,rjoshi691@gmail.com,LOC_11,Mysore,VIP
ORD_00013,25/03/24,Completed,13935,INR,PD_14,Football,Sports & Outdoors,3,112,PayPal,61,CUST_197,NGupta,ngupta662@gmail.com,LOC_47,Madurai,Returning
ORD_00021,08/02/24,Pending,11095,INR,PD_14,Football,Sports & Outdoors,5,393,Net Banking,63,CUST_140,KDeshmukh,kdeshmukh177@outlook.com,LOC_40,Aurangabad,VIP
ORD_00023,10/02/24,Pending,12508,INR,PD_03,Microwave,Home & Kitchen,3,311,PayPal,45,CUST_292,KKumar,kkumar564@yahoo.com,LOC_42,Mangalore,New
ORD_00040,25/03/24,Completed,4574,INR,PD_14,Football,Sports & Outdoors,5,25,Credit Card,89,CUST_061,NSharma,nsharma734@gmail.com,LOC_11,Mysore,Returning
ORD_00041,02/03/24,Completed,2798,INR,PD_14,Football,Sports & Outdoors,2,208,Net Banking,82,CUST_058,AVerma,averma614@outlook.com,LOC_08,Kota,New
ORD_00056,14/02/24,Canceled,8821,INR,PD_14,Football,Sports & Outdoors,5,367,UPI,63,CUST_176,RBhosale,rbhosale102@yahoo.com,LOC_26,Purnia,Returning
ORD_00075,14/03/24,Pending,5685,INR,PD_03,Microwave,Home & Kitchen,5,98,PayPal,73,CUST_079,NPatel,npatel462@outlook.com,LOC_29,Jalandhar,Returning
ORD_00078,04/03/24,Pending,14697,INR,PD_14,Football,Sports & Outdoors,4,226,PayPal,47,CUST_137,SBhosale,sbhosale720@outlook.com,LOC_37,Ahmedabad,VIP
ORD_00079,22/02/24,Completed,2260,INR,PD_03,Microwave,Home & Kitchen,1,263,PayPal,99,CUST_166,RBhosale,rbhosale753@yahoo.com,LOC_16,Howrah,New
ORD_00081,01/03/24,Pending,7701,INR,PD_14,Football,Sports & Outdoors,2,312,PayPal,29,CUST_273,SKumar,skumar711@outlook.com,LOC_23,Gwalior,Returning
ORD_00086,19/03/24,Pending,18341,INR,PD_03,Microwave,Home & Kitchen,5,459,Net Banking,40,CUST_095,RGupta,rgupta782@yahoo.com,LOC_45,Tiruchirappalli,Returning
ORD_00088,17/03/24,Pending,4502,INR,PD_03,Microwave,Home & Kitchen,2,225,PayPal,29,CUST_074,PGupta,pgupta265@outlook.com,LOC_24,Kanpur,Returning
ORD_00090,17/03/24,Completed,6158,INR,PD_14,Football,Sports & Outdoors,2,355,Credit Card,39,CUST_008,SPatel,spatel194@yahoo.com,LOC_08,Kota,New
ORD_00112,18/02/24,Pending,5939,INR,PD_03,Microwave,Home & Kitchen,3,425,PayPal,31,CUST_296,KVerma,kverma721@yahoo.com,LOC_46,Bhopal,Returning
ORD_00129,10/03/24,Canceled,4353,INR,PD_03,Microwave,Home & Kitchen,1,391,PayPal,73,CUST_125,SSharma,ssharma498@yahoo.com,LOC_25,Salem,VIP
ORD_00157,23/02/24,Pending,7322,INR,PD_14,Football,Sports & Outdoors,2,275,Net Banking,81,CUST_256,SSharma,ssharma507@yahoo.com,LOC_06,Rajkot,New
ORD_00162,05/02/24,Pending,6510,INR,PD_03,Microwave,Home & Kitchen,2,445,UPI,39,CUST_018,NJoshi,njoshi963@gmail.com,LOC_18,Jabalpur,New
ORD_00169,11/03/24,Canceled,1248,INR,PD_03,Microwave,Home & Kitchen,2,312,PayPal,68,CUST_295,APatel,apatel378@yahoo.com,LOC_45,Tiruchirappalli,VIP
ORD_00173,13/02/24,Pending,8417,INR,PD_14,Football,Sports & Outdoors,4,233,Net Banking,58,CUST_204,NBhosale,nbhosale984@gmail.com,LOC_04,Pune,Returning
ORD_00179,21/02/24,Canceled,1268,INR,PD_03,Microwave,Home & Kitchen,2,465,Net Banking,57,CUST_110,SSharma,ssharma670@gmail.com,LOC_10,Patna,New
ORD_00195,14/02/24,Completed,4629,INR,PD_03,Microwave,Home & Kitchen,1,106,UPI,95,CUST_121,KKumar,kkumar888@outlook.com,LOC_21,Prayagraj,VIP
ORD_00196,26/03/24,Completed,10018,INR,PD_03,Microwave,Home & Kitchen,2,1,PayPal,55,CUST_199,NBhosale,nbhosale418@outlook.com,LOC_49,Varanasi,New
ORD_00204,18/02/24,Canceled,6578,INR,PD_03,Microwave,Home & Kitchen,5,33,UPI,36,CUST_006,RSharma,rsharma877@gmail.com,LOC_06,Rajkot,VIP
ORD_00213,14/02/24,Completed,2633,INR,PD_03,Microwave,Home & Kitchen,3,295,Net Banking,84,CUST_120,SVerma,sverma525@gmail.com,LOC_20,Siliguri,New
ORD_00223,15/03/24,Canceled,10863,INR,PD_03,Microwave,Home & Kitchen,3,56,Net Banking,56,CUST_062,SGupta,sgupta309@outlook.com,LOC_12,Muzaffarpur,VIP
ORD_00229,08/03/24,Pending,2444,INR,PD_14,Football,Sports & Outdoors,1,294,Net Banking,74,CUST_271,RJoshi,rjoshi722@gmail.com,LOC_21,Prayagraj,New
